,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
138,BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
139,BMW 430i Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
140,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,small car,7,24,34,27,6,No
141,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,small car,7,24,34,27,6,No
142,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,small car,7,23,33,27,6,No
143,BMW 430i Gran Coupe,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,small car,7,23,33,27,6,No
144,BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,29,24,5,No
145,BMW 440i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,29,24,5,No
146,BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,20,29,23,5,No
147,BMW 440i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,20,29,23,5,No
148,BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,19,29,23,5,No
149,BMW 440i Coupe,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,19,29,23,5,No
150,BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,CA,small car,3,19,29,23,5,No
151,BMW 440i Coupe,3.0,6.0,Man-6,4WD,Gasoline,FA,small car,3,19,29,23,5,No
152,BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,32,25,5,No
153,BMW 440i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,32,25,5,No
154,BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,31,25,5,No
155,BMW 440i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,31,25,5,No
156,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,32,25,5,No
157,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,32,25,5,No
158,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,31,25,5,No
159,BMW 440i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,31,25,5,No
160,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,27/70,31/75,29/72,10,Elite
161,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,27/70,31/75,29/72,10,Elite
162,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,27/66,31/68,28/67,10,Elite
163,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,27/66,31/68,28/67,10,Elite
164,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,midsize car,7,24,34,27,6,No
165,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,midsize car,7,24,34,27,6,No
166,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,7,23,33,27,6,No
167,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,7,23,33,27,6,No
168,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,midsize car,5,21,30,24,5,No
169,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,midsize car,5,21,30,24,5,No
170,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,20,29,23,5,No
171,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,5,20,29,23,5,No
172,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,20,29,23,5,No
173,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,20,29,23,5,No
174,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,19,28,22,4,No
175,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,19,28,22,4,No
176,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,20,29,23,5,No
177,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,20,29,23,5,No
178,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,19,28,22,4,No
179,BMW 640i Gran Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,19,28,22,4,No
180,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,17,25,20,4,No
181,BMW 650i Convertible,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,17,25,20,4,No
182,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
183,BMW 650i Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
184,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,17,25,20,4,No
185,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,17,25,20,4,No
186,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
187,BMW 650i Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
188,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,large car,3,25/62,29/68,27/64,9,Yes
189,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,large car,3,25/62,29/68,27/64,9,Yes
190,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,large car,3,21,29,24,5,No
191,BMW 740i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,large car,3,21,29,24,5,No
192,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,20,29,23,5,No
193,BMW 740i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,20,29,23,5,No
194,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,CA,large car,3,17,25,20,4,No
195,BMW 750i,4.4,8.0,SemiAuto-8,2WD,Gasoline,FA,large car,3,17,25,20,4,No
196,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,16,25,19,3,No
197,BMW 750i,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,16,25,19,3,No
198,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,16,25,19,3,No
199,BMW Alpina B6 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,16,25,19,3,No
200,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,large car,3,16,25,19,3,No
201,BMW Alpina B7,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,large car,3,16,25,19,3,No
202,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,20,26,22,4,No
203,BMW M2,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,20,26,22,4,No
204,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,18,26,21,4,No
205,BMW M2,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,18,26,21,4,No
206,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,18,27,22,4,No
207,BMW M240i Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,18,27,22,4,No
208,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,30,24,5,No
209,BMW M240i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,30,24,5,No
210,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,30,24,5,No
211,BMW M240i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,30,24,5,No
212,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,19,28,22,4,No
213,BMW M240i Coupe,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,19,28,22,4,No
214,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,21,30,24,5,No
215,BMW M240i Coupe,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,21,30,24,5,No
216,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,21,30,24,5,No
217,BMW M240i Coupe,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,21,30,24,5,No
218,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
219,BMW M3,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
220,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
221,BMW M3,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
222,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,16,22,19,3,No
223,BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,16,22,19,3,No
224,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
225,BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
226,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
227,BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
228,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,CA,small car,3,17,25,20,4,No
229,BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,FA,small car,3,17,25,20,4,No
230,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,CA,small car,3,17,24,20,4,No
231,BMW M4 DTM Champions Edition,3.0,6.0,AMS-7,2WD,Gasoline,FA,small car,3,17,24,20,4,No
232,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,3,16,25,19,3,No
233,BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,3,16,25,19,3,No
234,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,CA,small car,1,14,20,16,2,No
235,BMW M6 Convertible,4.4,8.0,AMS-7,2WD,Gasoline,FA,small car,1,14,20,16,2,No
