Unnamed: 0,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
358,CHEVROLET Cruze Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,6,29.0,38.0,32.0,7,Yes
360,CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,CA,midsize car,3,30.0,45.0,35.0,7,Yes
362,CHEVROLET Cruze Hatchback,1.6,4,Man-6,2WD,Diesel,CA,midsize car,3,29.0,48.0,35.0,7,Yes
364,CHEVROLET Cruze Premier,1.4,4,SemiAuto-6,2WD,Gasoline,CA,small car,6,29.0,39.0,33.0,8,Yes
366,CHEVROLET Cruze Premier Hatchback,1.4,4,SemiAuto-6,2WD,Gasoline,CA,midsize car,6,28.0,37.0,31.0,7,Yes
368,CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,CA,small SUV,5,26.0,32.0,28.0,6,No
370,CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,CA,small SUV,5,24.0,30.0,26.0,5,No
372,CHEVROLET Equinox,1.6,4,Auto-6,2WD,Diesel,CA,small SUV,3,28.0,39.0,32.0,6,No
374,CHEVROLET Equinox,1.6,4,Auto-6,4WD,Diesel,CA,small SUV,3,28.0,38.0,32.0,6,No
376,CHEVROLET Equinox,2.0,4,Auto-9,2WD,Gasoline,CA,small SUV,5,22.0,29.0,25.0,5,No
378,CHEVROLET Equinox,2.0,4,Auto-9,4WD,Gasoline,CA,small SUV,5,22.0,28.0,24.0,5,No
380,CHEVROLET Impala,2.5,4,SemiAuto-6,2WD,Gasoline,CA,large car,3,22.0,30.0,25.0,5,No
384,CHEVROLET Impala,3.6,6,SemiAuto-6,2WD,Gasoline,CA,large car,7,19.0,28.0,22.0,4,No
386,CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,midsize car,6,27.0,36.0,30.0,7,Yes
388,CHEVROLET Malibu,1.5,4,Auto-6,2WD,Gasoline,CA,midsize car,7,27.0,36.0,30.0,7,Yes
390,CHEVROLET Malibu,1.8,4,CVT,2WD,Gasoline,CA,midsize car,3,49.0,43.0,46.0,10,Yes
392,CHEVROLET Malibu,2.0,4,Auto-9,2WD,Gasoline,CA,midsize car,5,22.0,32.0,26.0,5,No
400,CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,CA,pickup,3,16.0,23.0,19.0,3,No
401,CHEVROLET Silverado 15,5.3,8,Auto-6,2WD,Gasoline,CA,special purpose,3,15.0,20.0,17.0,3,No
404,CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,CA,pickup,3,16.0,22.0,18.0,3,No
405,CHEVROLET Silverado 15,5.3,8,Auto-6,4WD,Gasoline,CA,special purpose,3,15.0,19.0,17.0,3,No
408,CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,CA,pickup,3,18.0,24.0,20.0,4,No
410,CHEVROLET Silverado 15,5.3,8,Auto-8,2WD,Gasoline,CA,pickup,3,16.0,22.0,18.0,3,No
412,CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,CA,pickup,3,16.0,21.0,18.0,3,No
414,CHEVROLET Silverado 15,5.3,8,Auto-8,4WD,Gasoline,CA,pickup,3,15.0,20.0,17.0,3,No
416,CHEVROLET Silverado 15,6.2,8,Auto-8,2WD,Gasoline,CA,pickup,3,15.0,21.0,17.0,3,No
418,CHEVROLET Silverado 15,6.2,8,Auto-8,4WD,Gasoline,CA,pickup,3,15.0,20.0,17.0,3,No
420,CHEVROLET Sonic,1.4,4,Man-6,2WD,Gasoline,CA,small car,3,28.0,37.0,32.0,7,Yes
422,CHEVROLET Sonic,1.4,4,SemiAuto-6,2WD,Gasoline,CA,small car,3,27.0,35.0,30.0,7,Yes
424,CHEVROLET Sonic 5,1.4,4,Man-6,2WD,Gasoline,CA,station wagon,3,28.0,37.0,32.0,7,Yes
426,CHEVROLET Sonic 5,1.4,4,SemiAuto-6,2WD,Gasoline,CA,station wagon,3,27.0,35.0,30.0,7,Yes
430,CHEVROLET Suburban 1500,5.3,8,Auto-6,2WD,Gasoline,CA,standard SUV,3,16.0,23.0,19.0,3,No
434,CHEVROLET Suburban 1500,5.3,8,Auto-6,4WD,Gasoline,CA,standard SUV,3,15.0,22.0,18.0,3,No
438,CHEVROLET Tahoe 1500,5.3,8,Auto-6,2WD,Gasoline,CA,standard SUV,3,16.0,23.0,19.0,3,No
442,CHEVROLET Tahoe 1500,5.3,8,Auto-6,4WD,Gasoline,CA,standard SUV,3,16.0,22.0,18.0,3,No
444,CHEVROLET Tahoe 1500,6.2,8,Auto-10,2WD,Gasoline,CA,standard SUV,3,14.0,23.0,17.0,3,No
446,CHEVROLET Tahoe 1500,6.2,8,Auto-10,4WD,Gasoline,CA,standard SUV,3,14.0,22.0,17.0,3,No
448,CHEVROLET Traverse,3.6,6,SemiAuto-9,2WD,Gasoline,CA,standard SUV,5,18.0,27.0,21.0,4,No
450,CHEVROLET Traverse,3.6,6,SemiAuto-9,4WD,Gasoline,CA,standard SUV,5,17.0,25.0,20.0,4,No
452,CHEVROLET Trax,1.4,4,SemiAuto-6,4WD,Gasoline,CA,small SUV,3,24.0,30.0,27.0,6,No
460,CHRYSLER 300,3.6,6,Auto-8,2WD,Gasoline,CA,large car,3,19.0,30.0,23.0,5,No
464,CHRYSLER 300,3.6,6,Auto-8,4WD,Gasoline,CA,large car,3,18.0,27.0,21.0,4,No
466,CHRYSLER 300,5.7,8,Auto-8,2WD,Gasoline,CA,large car,3,16.0,25.0,19.0,3,No
468,CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,CA,minivan,3,18.0,28.0,22.0,4,No
469,CHRYSLER Pacifica,3.6,6,Auto-9,2WD,Gasoline,CA,minivan,3,19.0,28.0,22.0,4,No
